Sector,Model,Region,Year,oneWorld,twoWorld,cpolWorld,oneAsia,twoAsia,cpolAsia,oneMea,twoMea,cpolMea,oneLam,twoLam,cpolLam,oneCasia,twoCasia,cpolCasia,oneOecd,twoOecd,cpolOecd
Transportation,REMIND-MAgPIE 1.7-3.0,World,2020,0,0,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,World,2030,1183.5773315858,775.5661246361,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,World,2040,1800.0135423953,1432.188801839,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,World,2050,1918.2323491412,1781.4054860599,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,World,2060,2219.1073618081,2248.7634672789,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,World,2070,2631.635907436,2457.0613970243,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,World,2080,3130.2596999192,2725.9656846655,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,World,2090,3953.7076157171,3388.4718457544,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,World,2100,4478.8376198809,3848.377483513,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2020,0.0040226163,0.0041285749,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2030,831.9051815712,623.5791587428,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2040,1589.2944429256,1405.0199973729,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2050,1916.8351929508,1875.7119772362,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2060,2515.6527194073,2715.4570104973,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2070,3001.1511387901,2757.8122065353,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2080,3804.3257788215,3281.4062009575,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2090,4357.7395180226,3593.7948812778,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2100,4961.4166143314,4170.277509749,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2020,0,0,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2030,211.0046480185,132.2019798541,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2040,284.0774485226,197.7973538346,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2050,290.3359275356,259.8258922372,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2060,361.7397285015,374.7076291037,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2070,732.5020121672,555.0936653971,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2080,1124.1079243059,694.5662952203,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2090,1929.4184223182,1237.579338734,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2100,2438.7492960352,1494.9545279166,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Latin America,2020,0,0,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Latin America,2030,101.3543951926,61.5279408596,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Latin America,2040,121.3598875231,105.8839577704,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Latin America,2050,62.4965587446,73.4581490202,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Latin America,2060,46.4363811777,46.9355866495,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Latin America,2070,71.3920034629,56.1609397474,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Latin America,2080,94.7042260822,32.9280982916,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Latin America,2090,166.9888948027,79.2376536449,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Latin America,2100,173.3362749439,87.6243990094,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Central Asia,2020,0,0,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Central Asia,2030,22.4062338858,12.7369406899,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Central Asia,2040,32.7558621226,25.312952939,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Central Asia,2050,32.9416240976,30.7889151563,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Central Asia,2060,26.7101691642,28.3324549984,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Central Asia,2070,23.9894265408,25.7593337203,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Central Asia,2080,19.3571894144,16.9449230641,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Central Asia,2090,26.2770748671,23.5654494474,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,Central Asia,2100,33.2613607765,24.2867500668,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2020,0.0080418134,0.0103952825,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2030,1036.1227815437,703.127845309,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2040,1267.1327715585,1042.9735618893,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2050,1329.770499116,1278.6611556261,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2060,2060.3037717549,1701.4200614692,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2070,3507.3518763023,2315.2652549156,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2080,4950.5811258973,3072.4890382774,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2090,6472.710704352,4149.9854950835,0,,,,,,,,,,,,,,,
Transportation,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2100,7468.8454547288,4713.3650532825,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2020,0,0,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2030,-118.5030464773,-76.5630205373,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2040,-158.645363789,-120.5163907045,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2050,-204.8248412723,-175.5614951464,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2060,-286.0882742188,-229.5388344935,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2070,-348.7982927569,-265.2027041755,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2080,-497.5840985833,-397.6527238665,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2090,-587.4455199937,-450.3721321589,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,World,2100,-637.6476993826,-500.3123616303,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2020,-0.000790888,-0.0008117206,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2030,-185.6973304875,-140.1297287439,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2040,-277.3098101632,-236.9807224589,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2050,-465.7823326077,-420.4684819482,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2060,-597.4007137692,-529.7790579404,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2070,-592.5759595159,-488.6027029157,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2080,-928.1154016053,-822.0149834901,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2090,-997.2155757194,-851.6580382858,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Asia (No Japan),2100,-1092.0176582709,-937.6984544236,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2020,0,0,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2030,-19.1669998884,-11.9395288377,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2040,-28.4346021208,-20.0085746227,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2050,-39.4079046053,-30.2980398189,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2060,-70.6061023252,-54.1848692905,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2070,-107.2934994922,-85.1846569165,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2080,-152.7388887436,-119.4784080339,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2090,-218.3031565786,-154.3628561992,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Middle East + Africa,2100,-247.7171909051,-181.3936387406,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Latin America,2020,0,0,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Latin America,2030,-7.292495927,-4.4176428458,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Latin America,2040,-8.7018440726,-6.3358929678,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Latin America,2050,-10.6083983731,-8.9740894733,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Latin America,2060,-19.5787907138,-13.1596617788,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Latin America,2070,-29.2105340199,-17.6331501608,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Latin America,2080,-38.7493487572,-24.2907358914,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Latin America,2090,-48.2349627851,-30.0406527437,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Latin America,2100,-49.4172309637,-34.0714190577,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Central Asia,2020,0,0,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Central Asia,2030,-2.9801189103,-1.4722343192,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Central Asia,2040,-4.0541983105,-3.3703497953,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Central Asia,2050,-3.242778372,-2.7784075575,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Central Asia,2060,-4.7533726095,-2.186311738,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Central Asia,2070,-5.4995323854,-3.1583054192,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Central Asia,2080,-7.2376617168,-4.1975985156,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Central Asia,2090,-8.2154617596,-4.9646332473,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,Central Asia,2100,-9.2130319111,-5.5043294394,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2020,-0.0003235953,-0.0004182968,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2030,-90.2958605941,-58.3929910141,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2040,-110.7194051822,-76.3383937647,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2050,-126.84333258,-98.141995616,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2060,-172.8114220361,-125.6003678203,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2070,-218.800024268,-139.8725317788,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2080,-267.4005561976,-171.3477158342,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2090,-302.5310978849,-194.3477931617,0,,,,,,,,,,,,,,,
Industrial processes,REMIND-MAgPIE 1.7-3.0,OECD90 + EU,2100,-308.0525279576,-220.0361953003,0,,,,,,,,,,,,,,,
